what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1432268304183
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1432268331426
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1432268333471
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1432268337070
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1432268339039
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1432268339070
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1432268340875
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1432268404435
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1432268404435
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1432268406496
activated,perspective,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.DebugPerspective",1432268406558
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1432268410718
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1432268410812
activated,view,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.DebugView",1432268412221
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.Resume",1432268412299
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1432268418368
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1432268439025
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1432268439056
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1432268442846
activated,view,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.DebugView",1432268446098
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.Resume",1432268446192
